name,description,category,price
"BaronHong Seamless Underwear Half Length Chest Binder for Tomboy Trans Lesbian(Black,2XL)","Size S upper chest circumference:64-72cm/25.2""-28.35""<br> Size M upper chest circumference:72-82cm/28.35""-32.28""<br> Size L upper chest circumference:82-88cm/32.28""-34.65""<br> Size XL upper chest circumference:88-94cm/34.65""-37.01""<br> Size XXL upper chest circumference:94-98cm/37.01""-38.58""<br>The Model:height 100cm,weight 50KG,his comfortable size is M.<br>BaronHong is a new brand ,aimed to bring you a better life.All tradeworks belongs to BaronHong.",2879,2561
Hot Wheels 2004 First Editions Crooze Wail Tale 77/100 WHITE 077 1:64 Scale,1:64;First Editions0,976,11340
Antique Home Decor Wooden Hand Painted and Handmade Hanging Wind Chimes Pieces (Multicolour) Handcrafted Decorative Wall/Door/Window Hanging Bells (Bell) Peacock,Antique traditional handmade peacock wall decor Handmade Rajasthani bell wall hanging with bells for Bell shaped Wind chime for your house or office decor and positive atmosphere. Wind chimes sound creates peace and is a Feng Sui. Its a peacock wall decoration items makes home beautiful and sounds like a wind chime that contains handmade & hand painted elephants hanging in strings with golden bells that makes beautiful and smooth sound. The product will be exactly the same as show in the picture.,5565,35439
GEOSHADOW FMB120 High-end Small Light Weight GPS Tracking Device Anti Theft Waterproof Real time Live Location Vehicle Tracker for Taxi Car Bus Truck Travels Automobile,"<p>FMB120 small and professional tracker with internal high gain GSM and GNSS antennas, which is able to collect device coordinates and other useful data and transfer them via GSM network to server.&nbsp;</p><p>This device is perfectly suitable for applications where location acquirement of remote objects is needed: fleet management, car rental companies, taxi companies, public transport, logistics companies, personal cars and so on. FMB120 can perform tasks on remote objects, such as monitoring engine status, controlling truck’s door etc.</p><p><strong>Features:</strong></p><ul><li>Support New generation GSM/GNSS module</li><li>Cost Effective Small Light weight GPS Device</li><li>Dual SIM and Bluetooth Connectivity</li><li>Various Vehicle CAN Adapters</li><li>FMB Immobilizer</li><li>SOS, Geo-Fence, Vibration, Movement alarms and notification</li></ul><p><strong>Specifications:</strong></p><ul><li>GPS Chipset: MTK high Sensitivity Chip</li><li>Model: FMB120</li><li>Location Accuracy: &lt;10 Meters</li><li>Voltage Input: 10-30V DC</li><li>Backup Battery: 170mAh</li><li>Tracking sensitivity: -165dBm</li><li>Acquisition sensitivity: -144dBm</li></ul><p><strong>Applications:</strong></p><ul><li>Fleet management</li><li>Car Rental, Taxis, Travel Bus.</li><li>Public transport</li><li>Logistics companies</li><li>Personal cars</li></ul><p><strong>Package Included:</strong></p><ul><li>1 GeoShadow FMB120 GPS Tracker</li><li>1 Extension Wire</li><li>1 Relay Wire</li><li>1 Instruction Note</li></ul>",2136,49934
Women's A Line Open Back Satin Prom Dress Long Formal Party Skirts Deep V Neck Ball Gown Hot Pink Size 6,"<strong>About YinanLi Dress</strong>:<br />We provide different style of Bridesmaid Dresses, Bridal gowns, Prom Gowns, Cocktail Dresses, Evening Dresses, Party Dresses, Homecoming Dresses, and Celebrity Dresses.<br /><br /><strong></strong> <strong>Prom Dress Details:</strong><br />Material: Satin<br />Neckline: V-Neck<br />Sleeve: Sleeveless<br />Back: Open Back<br />Closure: Back Zipper<br />Length: Long/Floor Length<br />Occasion: This elegant satin prom dress is suit for wedding party, bridesmaid, prom, evening, homecoming, wedding, birthday party, dance party, graduation, celebrity, red carpet and other formal or special occasions. <strong><strong></strong></strong><br /><br /><strong></strong><strong>Custom Size:</strong><br />We could make custom size and color freely, if you want please email to us when you place the order.<br />1. Bust:<br />2. Waist:<br />3. Hips:<br />4. Height: from head to toe (barefoot)<br /><br />1. Originally Designed: All dresses are designed by the most qualified designers, and the most experienced tailors carry out strict quality inspections in our own factories. Every needle and every thread reflects our passion for service and attention to detail. You will get the most exquisite design<br /><br />2. Could this work as a maternity dress? Since satin fabrics are not elastic, only some imperial waist skirts are suitable for pregnant women. We strongly recommend that you customize the dress, select &quot;custom&quot; in the size area, fill in your size, so we will customize this beautiful prom dress for you.",2986,5861
"LILLUSORY Women's Turtleneck Oversized Sweaters 2022 Fall Long Batwing Sleeve Spilt Hem Tunic Pullover Sweater Knit Tops, Dark Apricot, X-Small",Turtleneck Pullover Sweater,2992,7176
Paperblanks 2021 Midnight Steel Midi 12-Month,"Capturing the flavour of finely wrought Renaissance-style leather bindings, Paperblanks Midnight Steel 2021 12-Month Diary pays homage to the craft of delicate gold tooling, originally introduced to Europe via the flourishing trade routes to the East. The timeless beauty of an antique leather binding is brought into the present on the cover of this deep blue book.",5091,46043
"Stunned Trendy, Latest, Classy Attractive Look Printed Mobile Back Case Cover for Vivo Y73 (Heart Lock)","Comfortable and light weight for daily use. Attractive, unique designs. Allows easy access to all buttons, controls and ports of your Phone. The back designs are totally customized designs, these designs on the cases are manufactured by Cleok Associate after you place the order. Protects your Phone from scratches and damage. This case covers full back side of your Phone and need not to replace the original back cover. High Quality finish case.Easy to install and remove.",2201,30354
"Pooplu Womens Plain V Neck Half Sleeves Pack of 3 Combo Cotton Pink, Yellow, DarkPink T Shirt. Stylish, Casual Tshirts (_L)",Pooplu Womens Cotton Plain Combo Pack of 3 MultiColour T shirt With 180 GSM Pure Cotton Regular Fit Tshirt,3079,6489
"Amscan 354001.54 Jumbo Margarita Glass, 30 oz, Caribbean Blue",Serve cool drinks in our 30 oz Jumbo Plastic Margarita Glass Caribbean Blue! Features a Caribbean Blue plastic jumbo margarita glass. Holds 32 oz of your choice of liquid. Includes 1 margarita glass per package.,1419,5626
adidas Men's Predator 18+ FG Firm Ground Soccer Cleats,adidas Predator 18+ FG- Black 7.5,2788,32853
"Oswal Multi Berry (300 gm) Wool Hank Hand Knitting Wool/Art Craft Soft Fingering Crochet Hook Yarn, Needle Knitting Yarn Thread dye T","<p>✔ This wool for knitting is good as a crochet yarn wool and can be crafted as jumpers, sweaters, etc.<br></p><p> ✔ Knitting yarn baby wool is made of 100% acrylic. This high-quality knitting wool yarn set can be used for a variety of craft projects, hand crocheting, baby blankets, hats, booties, wool socks, kit and other baby and kids items.&nbsp;<br></p><p>✔&nbsp;This wool for knitting is good as a crochet yarn wool and can be crafted as jumpers, sweaters, etc.</p><p>✔&nbsp;Branded wool knitting provides satisfaction and quality of knitting experience.<br></p><p>✔&nbsp;This variety of wool contains many colors like Black, Violet, Blue, White, Red, Green, multi,&nbsp; etc.<br></p><p>✔&nbsp;This crochet wool is a Gauge 3 wool, it's not a chunky thick wool. It's a very soft thread yarn comes in many colors. Can be hand washet and delicat machine wash at 40° C.<br></p><p>✔&nbsp;Similar types of wools are - Vardhman rosemary wool, Vardhman microshine wool, oswal wool thread yarn for knitting.<br></p><p>✔ Note - This is not a yarn thick chunky wool. Not a thick wool for knitting. It's a needle, crochet yarn acrylic avaliable in gm and kg.<br></p>",11192,39680
PosterHub Pink Floyd The Wall Poster Matte Finish Paper Print 12 x18 Inch (Multicolor) HS - P076,"This is a 12 x 18 Inch Size Poster Print, printed on high quality matte finish poster paper. No cheap paper used. Quality is Guaranteed.",1557,41496
Come and Take It Black Flag Embroidered Patch Iron-On Gonzales Texas Revolution,Come and Take It Black Flag Embroidered Patch Iron-On Gonzales Texas Revolution,11395,48006
Printed Vinyl Mobile Wrap Compatible with OnePlus 9R Skin Sticker Protector for Back Only - Blue Gold Marble-10 (with Matte Lamination),"<p><strong>Do You Want Your Device To Look Different Than The Rest?</strong></p> <p>You&rsquo;re in the right place because we&rsquo;ve got exactly what you are looking for! This Skin is the perfect way to show off your style! Or with hundreds of other Skins designs, you can be sure to find one that you&rsquo;ll love, and that will show off your unique style!</p> <p><strong>Do You Want To Protect Your Device?</strong></p> <p>With our Skins your Device is protected from scratches, dings, dust, fingertips, and the wear-and-tear of everyday use!</p> <p>Cover your Device with a beautiful, stylish decal skin and keep it protected at the same time!</p> <p>Easy to apply, and easy to remove without any sticky residue!</p> <p>Make your favorite gear look like new, and stand out from the crowd!</p> <p><strong>Order With Confidence</strong></p> <p>Our Skins are durable, reliable, made in our state-of-the-art production facility in the India.</p> <p><strong>Product Details:</strong></p> <ul> <li>&nbsp;Vinyl decal sticker</li> <li>&nbsp;NOT A HARD CASE</li> <li>&nbsp;Ultra-Thin, Ultra-Durable, Stain Resistant</li> <li>&nbsp;Hundreds of different designs</li> <li><strong>&nbsp;Device is not included.</strong></li> </ul>",2213,48398
Mad Rock Remora Climbing Shoe - Men's Blue 9.5,"The Remora Climbing Shoe is Mad Rock's do-it-all slipper for climbers who can't have separate shoes for boulders, sport routes, and gyms. With a moderately stiff, slightly downturned design, the Remora performs on any climb at steep to vertical angles. Science Friction rubber edges on jibs with ease, and it encapsulates the forefoot for toe-hooking prowess. The SynFlex upper conforms to your foot without much stretch.",2788,16459
"Real Art. | Wall Hanging Plates | 24K Gold Printed Plates | God Picture Collection | 7""-1 pc with Plastic Stand | Diwali Puja",24K Gold printed Wall hanging Bone china Plates with stand you can use iit anywhere in house its 7 inches single piece plate,12680,13978
"Attiris Women's Satin Semi-Stitched Lehenga Choli (Green, Satin)",This beautifully handcrafted Lehenga by Attiris will make you look simply elegant giving an ethnic vibe. Elegance is the beauty that never fades. This is a superb outfit for every function. Lehenga has 3 meter flair and is semi stitched fits upto 42 inches at waist. The blouse is made of embroidered satin giving you a glamorous look for your perfect evening. Dupatta is made of high quality soft butterfly net and is 2.5 meter long. This Ghagra is generally worn for celebratory occasions like weddings and festivals and also wearable as chaniya choli and lancha. Go for high heels and a gold clutch. All for a bonafide wedding ensemble.,5988,16474
"GLAVON ADS Face & Body Scrub 200 gm with goodness of Natural Apricot Extract & MN BB Cream Rose Extract- Shade C,Dark Ivory [ Saver Pack of 4 Items ]","GLAVON ADS Face & Body Scrub 200 gm with goodness of Natural Apricot Extract , 200 gm Combo of MN BB Cream Rose Extract- Shade C,Dark Ivory - [ Combo of 4 Items ]",348,48841
RADANYA Royal Laptop Skin Cover Vinyl Sticker Protector Case for 15x10 Inches,"Laptop skin is compatible with laptops screen sizes ranging from 14.1 inches to 15.6 inches. Trimning of the skin would be required as per your laptop size. The skins by MSI are easy to install & remove without leaving any gum or residue. <br/> laptop skins enable you and your device a unique look which are cool, trendy & personalized. These skins protect your device from dirt, minor scratches & dullness, increasing its life & re-sale value. Specification: <br/>Dimensions (W x H): 15 inches x 10 inches<br/>Compatibility: Most laptops with screen sizes ranging from 10"" to 15.6"" <br/>Instructions for application:<br/>1. Make sure your laptop is clean. Wipe it off with a soft cloth. The laptop should be free of dust, fat or grease - otherwise the laptop skin may not stick to your laptop as well as it's supposed to.<br/>2. Take the measurement of the applying area<br/>3. Trim the exact size before applying with a blade/scissors<br/>4. Align the laptop skin on your laptop, take care that you put it on straight and in the exact position that you want to place it<br/>5. Remove only one side of the liner from sheet, align to the applying surface and start attaching them slowly<br/>6. Proceed carefully with the use of a clean cloth and/or a plastic card (i.e. ATM card) to assure no air bubbles remain until the liner is removed.",712,13538
MJ Metals Jewelry White Ceramic Piano Keyboard 6mm Band Flat Pipe Cut High Polished Ring Size 12,"This unique White Ceramic ring is laser engraved with a piano keyboard design, crafted from Hi-Tech Ceramic. It looks amazing and is very comfortable to wear. It requires little to keep it clean. With its reasonable price and beauty, it is a great gift. Ideal for use as a wedding ring. All of our Ceramic rings are Hypoallergenic and scratch resistant. Choose from 6mm or 8mm Widths. The piano pattern is continuous around the outside of the ring.",3368,30044
"Oxza Universal Foldable Stand Holder Mount Bracket for Tablet, Cell, Mobile Phone Table Stand Mobile Holder","The complementary design and sturdy build quality are some of the features that separate this universal tablet stand from other brands of tablet holders. Its unique combination of a solid plastic construction, soft silicon pads and a Non-slip rubber surface provides 100% protection, stability and mounting support for your device. The design of the holder helps to prevent your tablet or any other mounted device from getting scratched. This Universal phone stand is not only lightweight and portable but also fully retractable to support multiple mounting options and easy use on-the-go. Multi Angles, Landscape and Portrait Display Modes! This universal mobile phone holder and tablet stand has a very complimentary build resourcefully designed to offer you more for less. Its unique design allows you to conveniently use any mounted device in either portrait or landscape mode, so you can have a convenient viewing experience. Unlike other mounts for tablets and smartphone, this universal iPad stand has a well-balanced design that allows you to comfortably watch movies, read books, and play games on any mounted devices without worries. Its Adjustable angle allows you to use your tablets in landscape or portrait orientation, even if your device is encased. A Multi-Function Stand for all your Smart devices Having a stand that offers you more than one mounting options will come in handy if you have more than one device. With this in mind, we decided to design this mount to offer you just that. Unlike regular cell phone holders, mobile phone stands and tablet holders, this universal tablet display stand adjusts nicely to fit 4”to 12”smartphones, tablets and other smart devices without hassles.",2197,39261
Acm Leather Flip Flap Case Compatible with Realme Pad Mini Tablet Cover Stand Green,"Note - Item Doesnt Have Back Camera Or Speaker Hole And For Its Usage The Tablet Needs To Be Removed From Cover.The Really Smart Cover Makes Tablet Do Things No Other Cover Can. The Smart Cover Doesn't Just Protect Tablet, It Keeps It Ready To Go Whenever You Are.Magnetic Locks To Lock Your Tablet When Not In Use And Hence Making It Totally Safe.You Can Put It Stand Up For Watching Videos Or Lay It Down For Typewriting.Ultra Slim & Lightweight Design.Soft Synthetic Leather Outer Gives Tactile And Aesthetic Appeal And Full Protects Your Latest Tablet Whilst The Leather Interior Adds Strength And Durability To The Case.`",713,11656
Lofbaz Women's Drawstring Harem Solid Bohemian Hippie Rayon Pants Purple M,<p>These pants are adjustable the waist by drawstring makes them incredibly versatile and comfortable. 100% rayon. The material is silky soft and lightweight. Hand wash is recommended.</p><p><strong>Measurement</strong></p><p><strong>Size S (US 0-2)</strong></p><ul><li>Waist circumference: 22.8 - 42.7 inches (58 - 108.4 cm)</li><li>Leg Length: 41.3 inches (105 cm)</li></ul><p><strong>Size M (US 4-6)</strong></p><ul><li>Waist circumference: 25.2 - 46.6 inches (64 - 118.4 cm)</li><li>Leg Length: 41.3 inches (105 cm)</li></ul><p><strong>Size L (US 8-10)</strong></p><ul><li>Waist circumference: 27.6 - 50.7 inches (70 - 128.8 cm)</li><li>Leg Length: 41.3 inches (105 cm)</li></ul><p><strong>Size XL (US 12-14)</strong></p><ul><li>Waist circumference: 29.9 - 54.6 inches (76 - 138.8 cm)</li><li>Leg Length: 41.3 inches (105 cm)</li></ul><p><strong>Size 2XL (US 16-18)</strong></p><ul><li>Waist circumference: 32.3 - 58.3 inches (82 - 148 cm)</li><li>Leg Length: 41.3 inches (105 cm)</li></ul><p><strong>Size 3XL (US 18-20)</strong></p><ul><li>Waist circumference: 34.6 - 62.2 inches (88 - 158 cm)</li><li>Leg Length: 41.3 inches (105 cm)</li></ul><p><strong>Size 4XL (US 20-22)</strong></p><ul><li>Waist circumference: 37 - 66.1 inches (94 - 168 cm)</li><li>Leg Length: 41.3 inches (105 cm)</li></ul>,3081,17307
"Wacoal Women's Body By Wacoal Underwire Bra (38C, Red)",Body by wacoal seamless underwire is sleek and modern,3009,20418
Alize Angora Gold Simli 5% Metallic 20% Wool 75% Acrylic Lot of 2 skn 200gr 1100 ydsYarn Thread Crochet Lace Hand Knitting Turkish Yarn (1 Cream),"Alize Angora Gold Simli 5% Metallic 20% Wool 75% Acrylic Lot of 2 skn 200gr 1100 ydsYarn Thread Crochet Lace Hand Knitting Turkish Yarn - SATISFACTION GUARANTEE - buy original crocheting yarn, check that you purchase from LIVLOREN seller",11192,9893
Trendy Retail Bike Carrier Block Adapter for Brompton Folding Bike Bag Mount Holder Red,"<p><b>Description:</b></p><p>This unique designed bracket fits for Brompton front carrier block.<br>Adapter size: 11 x 8 cm. Max Loading is 35kg.<br>Designed for Brompton folding bike, no bag frame needed.<br>Made of high-quality ABS PVC, durable and wear-resisting.<br>There are four holes on the plate, easy to install.<br>Convert your favorite small bag or basket into a bike bag.</p><p><b>Specification:</b></p><p>Material: ABS<br>Size: 11x2.5x8cm/4.33x1x3.15inch<br>Max Loading: 35kg</p><p><b>Package Includes:</b></p><p>1 Piece Bike Front Bag Carrier Block Adapter</p><p><b>Note:</b></p><p>Color might be slightly different due to the color calibration of each individual monitor.<br>Please allow slightly measuring deviation due to manual measurement.</p>",4788,4744
Generic Chiffon printed dupatta with Golden dots and Hangings for Girls and Women (White),"Fancy dupatta border golden Colour, light in weight Chiffon Printed Work Dupatta for Womens & Girls The Chiffon Dupatta is favourite for picnic, outdoor, travelling, cycling, dancing and stage performance. Use it as casual or formal wear for office, shopping, daily wear in home, college, family, meetings, festive occasions.work "" star zari on whole dupatta with jhalar lace. Fancy dupatta party Wear Fancy dupatta for women in chiffon The dupatta is made with Soft Chiffon fabric which makes it extremely light and comfortable. It is elegant in appearance and features a captivating charm.",2918,45812
GlobalNiche® Leather Car Key Case Cover for for d Fiesta MK7 ST Focus 3 MK3 MK2 Fusion Ka Ecosport Galaxy Escort Key Ring Car Accessories Color Name Red,GlobalNiche Leather Car Key Case Cover for for d Fiesta MK7 ST Focus 3 MK3 MK2 Fusion Ka Ecosport Galaxy Escort Key Ring Car Accessories Color Name Red,10350,17427
"The Mountain Bigfoot Adult T-Shirt, Brown, Small","<ul><li>Pre-Shrunk, Medium Weight, 100% Cotton</li><li>Relaxed, Classic Fit</li><li>Hand-Dyed and Printed Using Soft, Non-Toxic Water-Based Inks</li><li>Reinforced Double-Stitching On All Seams</li></ul>",2879,22723
"Protective Case Compatible with MacBook Air 11 inch Models A1465 & A1370, Plastic Hard Shell Cover Case & Laptop Sleeve Bag & Keyboard Cover for MacBook Air 11.6 inch - Pink Marble","Plastic Hard Shell Case & Sleeve Bag & Keyboard Cover Skin compatible with MacBook Air 11 inch models A1370/A1465</br></br> Laptop Cover Features :</br> - High quality case protects your device from scratches and abrasion.</br> - Precise cutouts allow full access to all ports and features; plug your charger, cable or headset without removing the case.</br> - The color-matching keyboard cover skin with soft and durable silicone material protect your device from dust, key-wear, liquid or daily damage. - Designed with two rows of ventilation at the bottom, allowing safe heat release.Four anti-slip silicone feet keeps your laptop firmly in place.</br></br> Protective Laptop Sleeve Features</br> - The laptop sleeve was made of high quality polyester material with soft touching, durable and life-time lasting.</br> - Features three layers' protection with waterproof layer, shockproof layer and fluffy fabric inner layer, the product can effectively absorb impacts and reduce damages caused by accidentally bumping, and protects your notebook from scratches.</br> - With one Laptop compartment and one zippered front pocket can hold many daily stuff, like cables, charger, mouse ect.</br></br> Installation</br> 1. Please find the 4 clips for top cover and 4 cilps for bottom cover.</br> 2. Please attach the bottom cover at the hinge location first, there are 2 clips to secure the back side of bottom cover.</br> 3. Gently push down the 2 side clips of bottom cover.</br> 4. To install the top cover,please attache the top cover at the hinge location first.</br> 5. Then gentley force to snap on the rest clips.</br></br> * Please contact Customer Service by email if you have any problems with the product before or after ordering.",712,46668
Trendy World Colorblock Round Neck Casual Boys & Girls Winter Sweater/Sweatshirt (Pack of 2),"This Trendy World comfy and stylish sweater will be a perfect addition to your champs wardrobe,style it with a jeans and sneakers for a cool look for him.",2697,1411
Replacement Timing Belt for John Deere M127926,"<p>★ Belt Application: Timing; Width:5/8&quot;; Length:70-7/8&quot;; 5/8&quot;x70-7/8&quot;<br> ★ Belt Type: Synchronous, 225 teeth<br> ★ Replaces OEM: John Deere M127926<br> ★ Fits Models: John Deere LT133 and LT155, Serial No. 125001 and lower; and LT166, Serial No. 095001 and lower</p>",2791,13502
"ASIAN Sneaker-03 Black Running Shoes,Sports Shoes,Stylish Casual Sneakers,Walking, Gym, Trekking, Hiking & Party for Men UK-6",Asian Presents To You One Of The Stylist Fashionista Shoes For Men,3236,43733
Chin: 3 Concertos,UNSUK CHIN:3 CONCERTOS,746,42213
Aqualens Moon Blue A-8065 Contact Lens Designer Case,"Why Aqualens Accessories? Perfect for Contact lens care products. Suitable for traveling or outdoor activity. Small and easy to carry, keeping your contact lens clean and clear. Great gift for yourself and your friends. Come with some necessary accessories for your contact lens: Solution Bottle, tweezers, mirror, Stick connection, and Lens holder box.",483,36825
"K-Swiss 201 Classic Tennis Shoe (Infant/Toddler),Black/Black,5 M US Toddler","K-Swiss 201 Classic Tennis Shoe (Infant/Toddler),Black/Black,5 M US Toddler",2449,27245
"Delta RP70256RB Shell H2O Body Jet, Venetian Bronze",Delta rp70256rb part body jet shell venetian bronze Delta rp70256rb Delta shell - h2o body jet rp70256rb parts other parts rp-trim part venetian bronze,10932,33397
YES2GOOD Luxury Mirror Stand View Flip Back Case Cover for Vivo Y30 Front & Back Clear View Smart Mirror Flip Cover for Vivo Y30 Mirror Flip Blue,"YES2GOOD Full Body Mirror Flip Cover With Stand for your device was designed with protection as well as user's lifestyle in mind. The case enhances the look of your device while providing optimum protection to the device against scratches, bumps and accidental falls. The flip cover protects the smartphone's screen when it is not in use and is easily flipped open for full access to the screen. The Mirror Flip Cover snugly fits onto the back of your device and guards it. The hot pressed microsuede interiors prevents scratches on the screen. Now easily protect your device without adding a lot of bulk. Features: True Luxury Metal Texture & Impact Resistant Dust & Debris Resistant Scratch Resistant 2-layer protection Lay on the Table Design: Raised Lip to Protect the Screen Perfect Grip for viewing content with ease Ribbed design for enhanced Grip & Control,(Sensor flip is not Working)",12064,46803
"Suitcase Music Box, Mini Music Box Clockwork Music Box for Children","Features: <br> This stylish and romantic gift is the most classic and interesting music box <br> Inside the music box there is a storage compartment and a jewelry box that can be used to store and organize your cosmetics, jewelries and other small items. <br> <br> No battery need, just twist the&nbsp;below clockwork&nbsp;by hand, and open the lid, it will give out elegant music melody; <br> As music plays, beautiful Ballerinas will dance, it is vividly, very interesting <br> A big square make up mirror inside top cover, while making up, listening to the wonderful <br> music, you will have a cheerful mood <br> High quality materials and unique design make a beautiful furnishing articles<br> <br> <br><br> Specification: <br> Material: plastic <br> Color: pink <br> Size:17.5*11.5*8.5cm/6.9*4.5*3.3in<br>Weight: Approx.364g/12.8oz <br> <br><br> Package list: <br> 1 x music box (ornaments inside are not included) <br> <br><br> <br>",5,33959
"Vinay Telescopic Drawer Channel 14 inches, Silver-1 Set","Fine movement telescopic full extension channel can be use in cabinets, Kitchen drawers, wardrobe, Keyboard Slide, sliding shoe rack etc",10187,41453
